| RU | GE | TGE | EN | TEN | Content |
| Я скажу вам | მე გეტყვით | me get'q'vit | I'll tell you | - | глагол Сказать. Будущее время. Ед. ч. |
| Мы скажем | ჩვენ ვიტყვით | chven vit'q'vit | We will say | - | глагол Сказать. Будущее время. Мн. ч. |
| Он скажет вам | ის გეტყვით | is get'q'vit | He will tell you | - | глагол Сказать. Будущее время. Ед. ч. |
| Ты скажешь | შენ ამბობდი | shen ambobdi | You will say | - | глагол Сказать. Будущее время. Ед. ч. |
| Ты скажешь мне | შენ მითხარი | shen mitkhari | You will tell me | - | глагол Сказать. Будущее время. Ед. ч. |
| Вы скажете | თქვენ იტყვით | tkven it'q'vit | You say | - | глагол Сказать. Будущее время. Мн. ч. |
| Вы скажете мне | თქვენ მითხარით | tkven mitkharit | You tell me | - | глагол Сказать. Будущее время. Мн. ч. |
| Скажи! | მითხარი | mitkhari | Tell | - | глагол Сказать. Будущее время. Ед. ч. |
| Скажите! | მითხარი | mitkhari | Tell | - | глагол Сказать. Будущее время. Мн. ч. |
| Он скажет | ის იტყვის | is it'q'vis | He will say | - | глагол Сказать. Будущее время. Ед. ч. |
| Он скажет мне | ის მეტყვის | is met'q'vis | He will tell me | - | глагол Сказать. Будущее время. Ед. ч. |
| Он скажет тебе | ის გეტყვის | is get'q'vis | He will tell you | - | глагол Сказать. Будущее время. Ед. ч. |
| Он скажет нам | ის გვიამბობს | is gviambobs | He will tell us | - | глагол Сказать. Будущее время. Ед. ч. |
| Они скажут | ისინი იტყვიან | isini it'q'vian | They will say | - | глагол Сказать. Будущее время. Мн. ч. |
| Они скажут мне | ისინი მეტყვიან | isini met'q'vian | They will tell me | - | глагол Сказать. Будущее время. Мн. ч. |
| Они скажут тебе | ისინი გეტყვიან | isini get'q'vian | They will tell you | - | глагол Сказать. Будущее время. Мн. ч. |
| Они скажут нам | ისინი გვეტყვიან | isini gvet'q'vian | They will tell us | - | глагол Сказать. Будущее время. Мн. ч. |
| гость | სტუმარი | st’umari | guest | - | Правила множественное число. |
| гости | სტუმარები | st’umarebi | guests | - | Правила множественное число. სტუმარ-ებ-ი |
| кассир | მოლარე | molare | cashier | - | Правила множественное число. |
| кассиры | მოლარეები | molareebi | cashiers | - | Правила множественное число. მოლარე-ებ-ი |
| Пришел | მოვედი | movedi | come | - | მო... сюда. Глагольные приставки. |
| Приду | მოვალ | moval | come | - | მო... сюда. Глагольные приставки. |
| Принес | მოიტანა | moit’ana | bring | - | მო... сюда. Глагольные приставки. |
| Ушел | წავიდა | ts’avida | Left | - | წა... туда. Глагольные приставки. |
| Уйду | წავალ | ts’aval | Left | - | წა... туда. Глагольные приставки. |
| Унес | წაიღო | ts’aigho | Carry away | - | წა... туда. Глагольные приставки. |
| взошел | ავიდა | avida | ascend | - | ა... снизу вверх. Глагольные приставки. |
| взойду | ავალ | aval | ascend | - | ა... снизу вверх. Глагольные приставки. |
| Прибыл | ჩავიდა | chavida | Arrive | - | ჩა... Сверху вниз и вглубь. Глагольные приставки. |
| приеду | ჩავალ | chaval | come | - | ჩა... Сверху вниз и вглубь. Глагольные приставки. |
| вошел | შევიდა | shevida | enter | - | შე... во что-то. Глагольные приставки. |
| Войду | შევალ | sheval | enter | - | შე... во что-то. Глагольные приставки. |
| Введите | შეიტანა | sheit'ana | enter | - | შე... во что-то. Глагольные приставки. |
| вышел | გავიდა | gavida | came out | - | გა... из чего-то. Глагольные приставки. |
| выхожу | გავალ | gaval | I'm going out | - | გა... из чего-то. Глагольные приставки. |
| пришел | მივიდა | mivida | come | - | მი... к чему-то. Глагольные приставки. |
| Приду | მივალ | mival | come | - | მი... к чему-то. Глагольные приставки. |
| перешёл | გადავიდა | gadavida | passed | - | გადა... через что-то. Глагольные приставки. |
| перейду | გადავალ | gadaval | I'll move on | - | გადა... через что-то. Глагольные приставки. |
| переживут | გადაიტან | gadait'an | survive | - | გადა... через что-то. Глагольные приставки. |
| написал | დაწერა | dats'era | write | - | და... сверху на что-то. Глагольные приставки. |
| Пишу | ვწერ | vts'er | I am writing | - | Приставки и вид глаголов. |
| Напишу | დავწერ | davts'e | I will write | - | და... Приставки и вид глаголов. |
| Делает | ის აკეთებს | is ak’etebs | Does | - | Приставки и вид глаголов. |
| Сделает | ის გააკეთებს | is gaak’etebs | Will do | - | გა... Приставки и вид глаголов. |
| Оканчиваю | ვამთავრებ | vamtavreb | I am finishing | - | Приставки и вид глаголов. |
| Окончу | დავამთავრებ | davamtavreb | I will finish | - | და... Приставки и вид глаголов. |
| Буду думать | ვიფიქრებ | vipikreb | I will think | - | Приставки и вид глаголов. |
| Придумаю | მოვიფიქრებ | movipikreb | I will think of something | - | მო... Приставки и вид глаголов. |
| Писать | წერა | ts'era  | Write | - | Приставки и вид глаголов. |
| Приписать | მიწერა | mits'era | Add | - | მი... Приставки и вид глаголов. |
| Вписать | ჩაწერა | chats'era  | Write in | - | ჩა... Приставки и вид глаголов. |
| Прописать | ჩაწერა | chats'era | Write in | - | ჩა... Приставки и вид глаголов. |
| Переписать | გადაწერა | gadats'era | Rewrite | - | გადა... Приставки и вид глаголов. |
| Описать | აღწერა | aghts'era | Describe | - | აღ... Приставки и вид глаголов. |
| Надписать | წარწერა | ts'arts'era | Add | - | წარ... Приставки и вид глаголов. |
| Выписать | გმოწერა | gmots'era | Write out | - | გმო... Приставки и вид глаголов. |
| В Москве | მოსკოვში | mosk’ovshi | In Moscow | - | ...-ში. Предлоги. |
| Из Москвы | მოსკოვიდან | mosk’ovidan | From Moscow | - | ...-დან. Предлоги. |
| От Москвы | მოსკოვიდან  | mosk’ovidan | From Moscow  | - | ...-დან. Предлоги. |
| С Москвы | მოსკოვიდან | mosk’ovidan | From Moscow | - | ...-დან. Предлоги. |
| На Москву | მოსკოვზე | mosk’ovze | To Moscow | - | ...-ზე. Предлоги. |
| К Москве | მოსკოვიდან | mosk’ovidan | To Moscow | - | ...-დან. Предлоги. |
| У Москвы | მოსკოვიდან | mosk’ovidan | Near Moscow | - | ...-დან. Предлоги. |
| До Москвы | მოსკოვამდე | mosk’ovamde | To Moscow | - | ...-მდე. Предлоги. |
| В сторону Москвы | მოსკოვისკენ | mosk’ovisk’en | Towards Moscow | - | ...-კენ. Предлоги. |
| Для Москвы | მოსკოვისთვის  | mosk’ovistvis | For Moscow | - | ...-თვის. Предлоги. |
| Ради Москвы | მოსკოვისთვის | mosk’ovistvis | For Moscow | - | ...-თვის.  Предлоги. |
| Из-за Москвы | მოსკოვის გამო | mosk’ovis gamo | Because of Moscow | - | ... გამო. Предлоги. |
| О Москве | მოსკოვის შესახებ | mosk’ovis shesakheb | About Moscow | - | ... შესახებ. Предлоги. |
| Согласно Москве | მოსკოვის მიხედვით | mosk’ovis mikhedvit | According to Moscow | - | ... მიხედვით. Предлоги. |
| По Москве | მოსკოვის მიხედვით | mosk’ovis mikhedvit | According to Moscow | - | ... მიხედვით. Предлоги. |
| В соответствии Москвы | მოსკოვის მიხედვით | mosk’ovis mikhedvit | In accordance with Moscow | - | ... მიხედვით. Предлоги. |
| Несмотря на Москву | მოსკოვის მიუხედავად | mosk’ovis miukhedavad | Despite Moscow | - | ... მიუხედავად. Предлоги. |
| Вопреки Москвы | მოსკოვის მიუხედავად | mosk’ovis miukhedavad | Contrary to Moscow | - | ... მიუხედავად. Предлоги. |
| Между Москвой | მოსკოვს შორის | mosk’ovs shoris | Between Moscow | - | ... შორის. Предлоги. |
| Среди Москвы | მოსკოვს შორის | mosk’ovs shoris | Among Moscow | - | ... შორის. Предлоги. |
| Вместо Москвы | მოსკოვის ნაცვლად | mosk’ovis natsvlad  | Instead of Moscow | - | ... ნაცვლად. Предлоги. |
| Без Москвы | მოსკოვის გარეშე | mosk’ovis gareshe  | Without Moscow | - | ... გარეშე. Предлоги. |
| По причине Москвы | მოსკოვის გამო | mosk’ovis gamo  | Because of Moscow | - | ... გამო. Предлоги. |
| Кроме Москвы | მოსკოვის გარდა | mosk’ovis garda | Except Moscow | - | ... გარდა. Предлоги. |
| Ходит | დადის | dadis | Walks | - | და... Правила Глаголы движения |
| Идет | მოდის | modis | Goes | - | მო... Правила Глаголы движения |
| Летает | დაფრინავს | daprinavs | Flies | - | და... Правила Глаголы движения |
| Летит | მოფრინავს | moprinavs | Flies | - | მო... Правила Глаголы движения |
| Садовник | მებაღე | mebaghe | Gardener | - | მე-...-ე. Существительное. в грузинском языке это профессия. |
| Машинист | მემანქანე | memankane | Driver | - | მე-...-ე. Существительное. в грузинском языке это профессия. |
| Гостиница | სასტუმრო | sast'umro | Hotel | - | სა-...-ო. Существительное. в грузинском языке это место деятельноси, нахождения человека и происшедшее от прилагательных. |
| Мастерская | სახელოსნო | sakhelosno | Workshop | - | სა-...-ო. Существительное. в грузинском языке это место деятельноси, нахождения человека и происшедшее от прилагательных. |
| Родина | სამშობლო | samshoblo | Homeland | - | სა-...-ო. Существительное. в грузинском языке это место деятельноси, нахождения человека и происшедшее от прилагательных. |
| Плохо | ცუდად | tsudad | Bad | - | ...-ად. Наречия. в грузинском языке это застывшая форма в обстоятельном падеже. |
| Быстро | სწრაფად | sts'rapad | Fast | - | ...-ად. Наречия. в грузинском языке это застывшая форма в обстоятельном падеже. |
| Тяжело | მძიმედ | mdzimed | Hard | - | ...-ედ. Наречия. в грузинском языке это застывшая форма в обстоятельном падеже. |
| Легко | მსუბუქად | msubukad | Easy | - | ...-ად. Наречия. в грузинском языке это застывшая форма в обстоятельном падеже. |
| Кто-то | ვინმე | vinme | Somebody | - | ...-მე. Частицы. Прибавляется к вопросительному слову и придает ему значение неопределенности. |
| Некто | ვინმე | vinme | Someone | - | ...-მე. Частицы. Прибавляется к вопросительному слову и придает ему значение неопределенности. |
| Где-то | სადმე | sadme | Somewhere | - | ...-მე. Частицы. Прибавляется к вопросительному слову и придает ему значение неопределенности. |
| Когда-то | როდესმე | rodesme | Once | - | ...-მე. Частицы. Прибавляется к вопросительному слову и придает ему значение неопределенности. |
| Дома остался только я. | სახლში მეღა დავრჩი. | sakhlshi megha davrchi. | I'm the only one left at home. | - | ...-ღა. Частицы. Значение единственности оставшегося после какого-то действия предмета. |
| Мне принесли только книгу. | მე წიგნიღა მომიტანეს. | me ts'ignigha momit'anes. | They only brought me a book. | - | ...-ღა. Частицы. Значение единственности оставшегося после какого-то действия предмета. |
| Пришли и мать и сын | დედაც და შვილიც მოვიდნენ | dedats da shvilits movidnen | Both mother and son came | - |  ...-ც. Частицы. Имеет значение и то, и то и так-то. |
| На экскурсии был и я | მეც ვიყავი ექსკურსიაზე | mets viq'avi eksk'ursiaze | I was on the tour too | - |  ...-ც. Частицы. Имеет значение и то, и то и так-то. |
| А ну-ка, смотрите! | აბა ნახეთ! | aba nakhet! | Come on, look! | - | აბა, А ну, А ну-ка. Частицы. Побуждает к действию |
| Вот моя квартира | აი ჩემი ბინა | ai chemi bina | Here's my apartment | - | აი, Вот. Частицы. |
| Ведь сказали не опаздывать | აკი გითხარი, ნუ დაიგვიანებო | ak'i gitkhari, nu daigvianebo | They told me not to be late | - | აკი, Ведь. Частицы. |
| Пусть уходит | დაე წავიდეს | dae ts'avides | Let him go | - | დაე, Пусть. Частицы. |
| Как будто он сделал | ვითომ გააკეთა | vitom gaak'eta | As if he did | - | ვითომ, Как будто. Частицы. |
| А он быстро ушел | ის კი მალე წავიდა | is k'i male ts'avida | But he left quickly | - | კი. Значение А. Частицы. |
| А что же сказал, когда придет? | მაშ რა გითხრა, როდის მოვალო? | mash ra gitkhra, rodis movalo? | And what did he say when he would come? | - | მაშ. Частицы. Употребляется в вопросительных предложениях. |
| Неужели не помнишь? | მაშ არ გახსოვს? | mash ar gakhsovs? | Don't you remember? | - | მაშ. Частицы. Употребляется в вопросительных предложениях. |
| Так кто же скажет, когда придет начальник? | მაშ ვინ მეტყვის, როდის მოვა უფროსი? | mash vin met'q'vis, rodis mova uprosi? | So who will say when the boss will come? | - | მაშ. Частицы. Употребляется в вопросительных предложениях. |
| Раз нужно идти, так пойдем | რაკი წასვლაა საჭირო, მაშ წავიდეთ | rak'i ts'asvlaa sach'iro, mash ts'avidet | If we have to go, then let's go | - | მაშ. Частицы. Употребляется в утвердительных предложениях. |
| Значит все хорошо | მაშ ყველაფერი კარგად ყოფილა | mash q'velaperi k'argad q'opila | Then everything is fine | - | მაშ. Частицы. Употребляется в утвердительных предложениях. |
| Иногда | ხოლმე | kholme | Sometimes | - | Правило Выразитель многократности действий |
| Пишите нам письма | მოგვწერეთ წერილები ხოლმე | mogvts'eret ts'erilebi kholme | Write letters to us | - | Правило Выразитель многократности действий |
| Помогайте мне в выполнении задания | დამეხმარეთ ხოლმე ამოცანაში | damekhmaret kholme amotsanashi | Help me complete the task | - | Правило Выразитель многократности действий |
| Идите сюда | მოდით აქ | modit ak | Come here | - | Правило Вежливое обращение |
| Идите сюда | მიიბრძანდით | miibrdzandit | Come here | - | Правило Вежливое обращение |
| Кушайте | მიირთვით | ch'amet | Eat | - | Правило Вежливое обращение |
| Пейте | ჭამეთ | miirtvit | Drink | - | Правило Вежливое обращение |
| Садитесь | დაბრძანდით | dabrdzandit | Sit down | - | Правило Вежливое обращение |
| Садитесь | დაჯექით | dajekit | Sit down | - | Правило Вежливое обращение |
| Извольте | ინებეთ | inebet | If you please | - | Правило Вежливое обращение |
| Возьмите | აიღეთ | aighet | Take | - | Правило Вежливое обращение |
| Что вы хотите? | რა გნებავთ? | ra gnebavt? | What do you want? | - | Правило Вежливое обращение |
| Что вы хотите? | რა გინდათ? | ra gindat? | What do you want? | - | Правило Вежливое обращение |
| Слушаю вас! | გისმენთ! | gisment! | I’m listening to you! | - | Правило Вежливое обращение |
| Да! | კი | k'i | Yes! | - | Правило Вежливое обращение |
| Я не пошел. | მე არ წავედი. | me ar ts'avedi. | I didn't go. | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Я не сделал. | მე არ გავაკეთე. | me ar gavak'ete. | I didn't do it. | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Он не пришел. | ის არ მოვიდა. | is ar movida. | He didn't come. | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Не принесешь? | შენ არ მოიტან? | shen ar moit'an? | You won't bring it? | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Не уходи. | არ წახვიდე. | ar ts'akhvide. | Don't go. | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Не опоздай. | არ დააგვიანო. | ar daagviano. | Don't be late. | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Не забудь | არ დაგავიწყდეს | ar dagavits'q'des | Don't forget | - | Правила. Отрицательные предложения. არ. отрицание действия при желании действущего лица совершить его. |
| Я не смог пойти. | მე ვერ წავედი. | me ver ts'avedi. | I couldn't go. | - | Правила. Отрицательные предложения. ვერ. отрицание действия, которое человек хотел, но по какой-то причине не смог совершить. |
| Я не смог сделать. | მე ვერ გავაკეთე. | me ver gavak'ete. | I couldn't do it. | - | Правила. Отрицательные предложения. ვერ. отрицание действия, которое человек хотел, но по какой-то причине не смог совершить. |
| Он не смог написать. | ვერ დაწერა.  | ver dats'era. | He couldn't write. | - | Правила. Отрицательные предложения. ვერ. отрицание действия, которое человек хотел, но по какой-то причине не смог совершить. |
| Не сможешь принести? | ვერ მოგიტანთ? | ver mogit'ant? | You won't be able to bring it? | - | Правила. Отрицательные предложения. ვერ. отрицание действия, которое человек хотел, но по какой-то причине не смог совершить. |
| Не уходи | ნუ წახვალ | nu ts'akhval | Don't go | - | Правила. Отрицательные предложения. ნუ. запрещает действие, но мягче и просяще. |
| Не опаздывай | ნუ დაიგვიანებ | nu daigvianeb | Don't be late | - | Правила. Отрицательные предложения. ნუ. запрещает действие, но мягче и просяще. |
| Не забывай | ნუ დაგავიწყდება | nu dagavits'q'deba | Don't forget | - | Правила. Отрицательные предложения. ნუ. запрещает действие, но мягче и просяще. |
| Рука | ხელი | kheli | Hand | - | Правила Склонения. სახ. ...ი |
| Рука | ხელმა | khelma | Hand | - | Правила Склонения. მოთხ. ...მა |
| Рука | ხელს | khels | Hand | - | Правила Склонения. მიც. ...ს |
| Рука | ხელის | khelis | Hand | - | Правила Склонения. ნათ. ...ის |
| руками | ხელით | khelit | hands | - | Правила Склонения. მოქ. ...ით |
| Ручной | ხელად | khelad | Hand | - | Правила Склонения. ვით. ...ად |
| Рука | ხელო | khelo | Hand | - | Правила Склонения. წოდ. ...ო |
| Руки | ხელები | khelebi | Hands | - | Правила Склонения. სახ. ...ებ...ი |
| Руки | ხელებმა | khelebma | hands | - | Правила Склонения. მოთხ. ...ებ...მა |
| руки | ხელებს | khelebs | hands | - | Правила Склонения. მიც. ...ებ...ს |
| рук | ხელების | khelebis | hands | - | Правила Склонения. ნათ. ...ებ...ის |
| Руками | ხელებით | khelebit | Hands | - | Правила Склонения. მოქ. ...ებ...ით |
| в руки | ხელებად | khelebad | in hands | - | Правила Склонения. ვით. ...ებ...ად |
| Рука | ხელებო | khelebo | Hand | - | Правила Склонения. წოდ. ...ებ...ო |
| Новый дом | ახალი სახლი | akhali sakhli | New house | - | Правила Склонения. სახ. ...ი |
| Новый дом | ახალმა სახლმა | akhalma sakhlma | New house | - | Правила Склонения. მოთხ. ...მა |
| Новый дом | ახალ სახლს | akhal sakhls | New house | - | Правила Склонения. მიც. ...ს |
| Новый дом | ახალი სახლის | akhali sakhlis | New house | - | Правила Склонения. ნათ. ...ი ...ის |
| В новом доме | ახალი სახლით | akhali sakhlit | In the new house | - | Правила Склонения. მოქ. ...ი ...ით |
| В новый дом | ახალ სახლად | akhal sakhlad | In the new house | - | Правила Склонения. ვით. ...ად |
| Новый дом | ახალო სახლო | akhalo sakhlo | New house | - | Правила Склонения. წოდ. ...ო |
| Новые дома | ახალი სახლები | akhali sakhlebi | New houses | - | Правила Склонения. სახ. ...ი ...ებ...ი |
| Новые дома | ახალმა სახლებმა | akhalma sakhlebma | New houses | - | Правила Склонения. მოთხ. ახალ...მა სახლ...ებ...მა |
| Новые дома | ახალ სახლებს | akhal sakhlebs | New houses | - | Правила Склонения. მიც. ახალ სახლ...ებ...ს |
| Новые дома | ახალი სახლების | akhali sakhlebis  | New houses | - | Правила Склонения. ნათ. ახალ...ი სახლ...ებ...ის |
| Новые дома | ახალი სახლებით | akhali sakhlebit | New houses | - | Правила Склонения. მოქ. ახალ...ი სახლ...ებ...ით |
| В новые дома | ახალ სახლებად | akhal sakhlebad | In the new houses | - | Правила Склонения. ვით. ახალ სახლ...ებ...ად |
| Новые дома | ახალო სახლებო | akhalo sakhlebo | New houses | - | Правила Склонения. წოდ. ახალ...ო სახლ...ებ...ო |
| Я | მე | me | I | - | Правила Склонения личных местоимений. სახ. |
| Я | მე | me | I | - | Правила Склонения личных местоимений. მოთხ. |
| Я | მე | me | I | - | Правила Склонения личных местоимений. მიც. |
| мой | ჩემ | chem | my | - | Правила Склонения личных местоимений. ნათ. |
| Ты | შენ | shen | You | - | Правила Склонения личных местоимений. სახ. |
| Ты | შენ | shen | You | - | Правила Склонения личных местоимений. მოთხ. |
| Ты | შენ | shen | You | - | Правила Склонения личных местоимений. მიც. |
| Ты | შენ | shen | You | - | Правила Склонения личных местоимений. ნათ. |
| Ты | შენ | shen | You | - | Правила Склонения личных местоимений. წოდ. |
| Он | ის | is | He | - | Правила Склонения личных местоимений. სახ. |
| Тот | იმან | iman | That | - | Правила Склонения личных местоимений. მოთხ. |
| Это | იმას | imas | This | - | Правила Склонения личных местоимений. მიც. |
| Это | იმას | imas | This | - | Правила Склонения личных местоимений. ნათ. |
| Тот | იმით | imit | That | - | Правила Склонения личных местоимений. მოქ. |
| Тот | იმად | imad | That | - | Правила Склонения личных местоимений. ვით. |
| Мы | ჩვენ | chven | We | - | Правила Склонения личных местоимений. სახ. |
| Мы | ჩვენ | chven | We | - | Правила Склонения личных местоимений. მოთხ. |
| Мы | ჩვენ | chven | We | - | Правила Склонения личных местоимений. მიც. |
| Мы | ჩვენ | chven | We | - | Правила Склонения личных местоимений. ნათ. |
| Ты | თქვენ | tkven | You | - | Правила Склонения личных местоимений. სახ. |
| Ты | თქვენ | tkven | You | - | Правила Склонения личных местоимений. მოთხ. |
| Ты | თქვენ | tkven | You | - | Правила Склонения личных местоимений. მიც. |
| Ты | თქვენ | tkven | You | - | Правила Склонения личных местоимений. ნათ. |
| Ты | თქვენ | tkven | You | - | Правила Склонения личных местоимений. წოდ. |
| Они | ისინი | isini | They | - | Правила Склонения личных местоимений. სახ. |
| Их | იმათ | imat | Their | - | Правила Склонения личных местоимений. მოთხ. |
| Их | იმათ | imat | Their | - | Правила Склонения личных местоимений. მიც. |
| Их | იმათ | imat | Their | - | Правила Склонения личных местоимений. ნათ. |
| Давидович | დავითის ძე | davitis dze | Davidovich | - | Правила ФИО. |
| Давидовна | დავითის ასული | davitis asuli | Davidovna | - | Правила ФИО. |
| Гурамишвили | გურამიშვილი | guramishvili | Guramishvili | - | Правила ФИО. სახ. |
| Гурамишвили | გურამიშვილმა | guramishvilma | Guramishvili | - | Правила ФИО. მოთხ. |
| Гурамишвили | გურამიშვილს | guramishvils | Guramishvili | - | Правила ФИО. მიც. |
| Гурамишвили | გურამიშვილის | guramishvilis | Guramishvili | - | Правила ФИО. ნათ. |
| Чавчавадзе | ჭავჭავაძე | ch’avch’avadze | Chavchavadze | - | Правила ФИО. სახ. |
| Чавчавадзе | ჭავჭავაძემ | ch’avch’avadzem | Chavchavadze | - | Правила ФИО. მოთხ. |
| Чавчавадзе | ჭავჭავაძეს | ch’avch’avadzes | Chavchavadze | - | Правила ФИО. მიც. |
| Чавчавадзе | ჭავჭავაძეს | ch’avch’avadzes | Chavchavadze | - | Правила ФИО. ნათ. |
| Народ | ხალხი | khalkhi | People | - | Правила Прилагательные. |
| Народный | სახალხო | sakhalkho | People's | - | Правила Прилагательные. სა...ო |
| Праздник | დღესასწაული | dghesasts’auli | Holiday | - | Правила Прилагательные. ...ი |
| Праздничный | სადღესასწაულო | sadghesasts’aulo | Festive | - | Правила Прилагательные. სა...ო |
| Тбилисский | თბილისელი | tbiliseli | Tbilisi | - | Правила Прилагательные. ...ელი |
| Тбилисец | თბილისელი | tbiliseli | Tbilisian | - | Правила Прилагательные. ...ელი |
| Московский | მოსკოველი | mosk’oveli | Moscow | - | Правила Прилагательные. ...ელი |
| Москвич | მოსკოველი | mosk’oveli | Muscovite | - | Правила Прилагательные. ...ელი |
| Городской | ქალაქელი | kalakeli | City | - | Правила Прилагательные. ...ელი |
| Горожанин | ქალაქელი | kalakeli | City dweller | - | Правила Прилагательные. ...ელი |
| Русский | რუსული | rusuli | Russian | - | Правила Прилагательные. ...ული |
| Сельский | სოფელური | sopeluri | Rural | - | Правила Прилагательные. ...ური |
| Грузинская актриса | ქართველი მსახიობი | kartveli msakhiobi | Georgian actor | - | Правила Прилагательные. ...ველი |
| Грузинский хлеб | ქართული პური | kartuli p’uri | Georgian bread | - | Правила Прилагательные. ...ული |
| Английский гость | ინგლისელი სტუმარი | ingliseli st’umari | English guest | - | Правила Прилагательные. ...ელი |
| Английская газета | ინგლისური გაზეთი | inglisuri gazeti | English newspaper | - | Правила Прилагательные. ...ური |
| Давид просил достать ему книгу. | დევიდმა მთხოვა, წიგნი მიშოვეო. | devidma mtkhova, ts'igni mishoveo. | David asked me to get him a book. | - | Правила Частицы |
| Передай, что достану книгу. | გადაეცი, რომ გიშოვი-თქო. | gadaetsi, rom gishovitko. | Tell me I’ll get the book. | - | Правила Частицы. -თქო |
| Я сказал, что ты достанешь книгу. | მე ვუთხარი, რომ გიშოვის-მეთქი. | me vutkhari, rom gishovis-metki. | I said you would get the book. | - | Правила Частицы. -მეთქი |
| пишет | წერს | ts’ers | writes | - | Правила. Характеристика глаголов. Версия - Нейтральная. Действие не имеет адресата, оно совершаеся вообще, ни для кого. ...ს |
| режет | ჭრის | ch’ris | cuts | - | Правила. Характеристика глаголов. Версия - Нейтральная. Действие не имеет адресата, оно совершаеся вообще, ни для кого. ...ს |
| Пишет себе | იწერს | its’ers | Writes to himself | - | Правила. Характеристика глаголов. Версия - Для себя. Действующее лицо совершает действие для себя. ი...ს |
| Записывает для себя | იწერს | its’ers | Writes it down for himself | - | Правила. Характеристика глаголов. Версия - Для себя. Действующее лицо совершает действие для себя. ი...ს |
| Режет себе | იჭრის | ich’ris | Cuts for yourself | - | Правила. Характеристика глаголов. Версия - Для себя. Действующее лицо совершает действие для себя. ი...ს |
| Режет для себя | იჭრის | ich’ris | Cuts for yourself | - | Правила. Характеристика глаголов. Версия - Для себя. Действующее лицо совершает действие для себя. ი...ს |
| Он мне пишет | ის მწერს | is mts’ers | He writes to me | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. გ...ს |
| Он тебе пишет | ის გწერს | is gts’ers | He writes to you  | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. გ...ს |
| Он ему пишет | ის უწერს | is uts’ers | He writes to him | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. უ...ს |
| Он тебе режет | ის მჭრის | is mch’ris | He cuts you | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. გ...ს |
| Он тебе режет | ის გჭრის | is gch’ris | He cuts you | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. გ...ს |
| Он ему режет | ის გჭრის | is gch’ris | He cuts him | - | Правила. Характеристика глаголов. Версия - Для других. Действующее лицо совершает действие не для себя. გ...ს |
| скажу | ვიტყვი | vit’q’vi | I'll tell you | - | Правила. Характеристика глаголов. Контакт - Непосредственный. Действующее лицо совершает действие без участия другого лица. |
| перепишу | გადავწერ | gadavts’er | I'll rewrite it | - | Правила. Характеристика глаголов. Контакт - Непосредственный. Действующее лицо совершает действие без участия другого лица. ...წერ |
| заставлю его сказать | ვათქმევინებ | vatkmevineb | I'll make him tell you | - | Правила. Характеристика глаголов. Контакт - посредственный. Действующее лицо совершает действие кем-либо, побуждаемым действующим лицом. ...ინებ |
| заставлю его переписать | გადავაწერინებ | gadavats’erineb | I'll make him rewrite it | - | Правила. Характеристика глаголов. Контакт - посредственный. Действующее лицо совершает действие кем-либо, побуждаемым действующим лицом. ...ინებ |
| Товарищ уже взял билет | ამხანაგმა ბილეთი უკვე აიღო | amkhanagma bileti uk've aigho | Comrade has already bought a ticket | - | Правила. Характеристика глаголов. Ориентация. Способность глагола указывать направление движения по отношению к позиции говорящего. |
| Товарищ, оказывается, уже взял билет | ამხანაგს ბილეთი უკვე აუღია | amkhanags bileti uk've aughia | Comrade, it turns out, has already bought a ticket | - | Правила. Характеристика глаголов. Ориентация. Способность глагола указывать направление движения по отношению к позиции говорящего. |
| Товарищ, оказалось, уже взял билет | ამხანაგს ბილეთი უკვე აეღო | amkhanags bileti uk've aegho | Comrade, it turns out, has already bought a ticket | - | Правила. Характеристика глаголов. Ориентация. Способность глагола указывать направление движения по отношению к позиции говорящего. |
| А если товарищ уже взял билет? | თუ ამხანაგს უკვე აუღია ბილეთი? | tu amkhanags uk've aughia bileti? | What if Comrade has already bought a ticket | - | Правила. Характеристика глаголов. Ориентация. Способность глагола указывать направление движения по отношению к позиции говорящего. |
| Поезд будет стоять долго | მატარებელი დიდხანს გაჩერდება | mat'arebeli didkhans gacherdeba | The train will stand for a long time | - | Правила связь между подлежащим и сказуемым. გა...ება |
| Поезд стоял долго | მატარებელი დიდხანს გაჩერდა | mat'arebeli didkhans gacherda | The train stood for a long time | - | Правила связь между подлежащим и сказуемым. გა...ა |
